none	¿cuánto es 2 x 2?
none	Argus, cuando es 2 x 2
none	cuanto es dos por dos
none	cuánto son quince más siete
none	¿cuánto es el diez por ciento de mil?
none	¿qué hora es?
none	que hora es
none	what time is it
none	dime la hora
none	¿qué día es hoy?
none	en qué fecha estamos
none	what day is it today
none	¿qué tiempo hace hoy?
none	va a llover mañana
none	how is the weather today
none	¿cuándo viene mi hermana?
none	cuando viene mi hermana
none	¿qué me gusta tomar?
none	qué no le gusta a Rodrigo
none	que no le gusta a Rodrigo
none	que le pasaba a mi sobrino
none	¿dónde está mi coche?
none	dónde dejé las llaves
none	¿tienes apuntado algo de Pedro?
none	tell me what dad does not like
none	what did i tell you about my sister
none	no, olvídalo
none	eh... nada, olvidalo
none	no, olvida lo que dije
none	never mind, forget it
none	mejor no, déjalo
none	hola argus, cómo estás
none	buenos días
none	gracias, muy amable
none	cuéntame un chiste
none	tell me a joke
none	¿quién ganó el partido?
none	¿qué significa efímero?
none	how do you say gato in english
memory_save	recuerda que mi hermana viene los domingos
memory_save	anota que llegó el paquete
memory_save	ten en cuenta que soy alérgico a los frutos secos
memory_save	remember that dad is allergic to peanuts
memory_save	apunta que el gimnasio abre a las siete
camera	¿qué estás viendo?
camera	¿hay alguien en la puerta?
camera	what do you see right now
